id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
6999	"koroukian, siran m"	0.0924	0.4592	12	2	6	5	2015.6
7012	"kotsopoulos, joanne"	0.1874	-0.713	4	2	6	5	2016.8
7066	"kroenke, candyce h"	-0.0843	-0.3576	4	6	12	6	2016.1667
7100	"kuerer, henry m"	-0.6744	-0.2142	1	11	12	7	2016.1429
7144	"kurian, allison w"	-0.2842	-0.4963	4	16	27	9	2016.5556
7157	"kushi, lawrence h"	-0.1252	-0.3472	4	7	16	6	2016.3333
7170	"kwan, marilyn l"	-0.1019	-0.397	4	14	23	7	2016.2857
7412	"lee, christoph i"	-0.4399	0.3007	10	11	19	7	2017.1429
7452	"lee, jeong eon"	1.1388	0.2449	11	7	16	9	2017.5556
7458	"lee, jong won"	1.492	0.3517	8	4	6	5	2016.2
7502	"lee, su hyun"	1.6914	0.2892	8	10	26	6	2017
7517	"lehman, constance d"	-0.4108	0.1637	1	13	23	11	2016.4545
7527	"lei, xiudong"	-0.6757	-0.3305	1	10	16	5	2017.4
7615	"li, christopher i"	-0.1932	-0.8547	15	1	3	6	2016.3333
7655	"li, hui"	-0.3689	-0.1725	1	9	10	11	2017
7673	"li, jing"	-0.3039	-0.0999	1	4	4	8	2016.625
7676	"li, jingmei"	-0.5717	0.6077	18	8	45	15	2016.7333
7779	"li, yun"	-0.5737	-0.6472	17	9	21	6	2016.1667
7808	"liang, xiaolin"	-0.3184	-0.871	15	12	69	7	2017.2857
7884	"lin, fang-yu"	0.23	0.7582	13	5	18	6	2016.5
8065	"liu, song"	0.4545	-0.8932	5	17	85	9	2016.4444
8090	"liu, ying"	0.2844	-0.0249	2	3	7	8	2016.625
8116	"llobet, rafael"	-0.5023	1.3658	7	11	60	6	2017.3333
8129	"lo, chung-ming"	1.7507	0.3758	8	6	16	5	2015.4
8185	"lope, virginia"	-0.5931	1.3284	7	18	98	12	2016.9167
8302	"lunetta, kathryn l"	0.3355	-0.8838	5	19	107	9	2016.4444
8361	"lynch, charles f"	-0.3361	-0.8084	15	12	69	7	2017.2857
8364	"lynge, elsebeth"	-0.0577	-0.7115	19	5	27	10	2016.7
8388	"ma, lin"	0.0653	0.2999	6	21	74	10	2016.7
8469	"mahmoudzadeh, amir pasha"	-0.0524	0.2646	3	28	76	8	2016.25
8516	"malkov, serghei"	0.0056	0.3391	6	27	60	7	2016.8571
8521	"malone, kathleen e"	-0.2192	-0.7666	15	14	78	13	2016.8462
8580	"mao, jun j"	-0.0078	0.5695	12	4	10	8	2016.75
8616	"marian, catalin"	0.6995	-0.6091	9	4	14	8	2016.125
8618	"mariapun, shivaani"	-0.6631	0.6334	18	4	7	5	2016.6
8703	"maskarinec, gertraud"	0.3092	0.2535	11	3	3	5	2016.4
8754	"matthews, charles e"	-0.0466	-0.0778	3	11	22	5	2016.6
8780	"mazurowski, maciej a"	-0.3291	-0.4003	1	2	9	8	2016.75
8799	"mccarthy, anne marie"	-0.1657	0.4952	12	13	25	9	2016.4444
8813	"mccullough, lauren e"	0.1156	-0.3307	9	16	44	9	2016.1111
8916	"mellemkjaer, lene"	-0.3841	-0.8456	15	11	50	5	2017.2
9028	"miglioretti, diana l"	-0.2301	0.309	10	22	33	7	2015.5714
9144	"mo, xiong-fei"	0.2405	0.7215	13	5	20	7	2016.4286
9199	"momoh, adeyiza o"	0.0727	-0.1432	2	2	8	6	2016.3333
9226	"moon, woo kyung"	1.6551	0.2644	8	15	75	19	2016.4737
9234	"moore, steven c"	-0.0135	-0.1066	3	10	14	5	2016.6
9251	"mordukhovich, irina"	0.3824	-0.3236	9	9	35	6	2016.1667
9261	"moreno, victor"	-0.6018	1.1196	7	12	51	6	2017
9266	"moreo, pilar"	-0.511	1.4318	7	11	69	7	2017.1429
9294	"morris, elizabeth a"	-0.3854	-0.0403	1	5	8	8	2017
9303	"morrow, monica"	-0.498	-0.4249	17	22	36	10	2016.4
9531	"nam, seok jin"	1.1459	0.2105	11	7	16	8	2017.375
9556	"narod, steven a"	0.1659	-0.7168	4	2	6	8	2017
9636	"neugut, alfred i"	0.2591	-0.3657	9	18	86	19	2016.1579
9640	"neuman, heather b"	-0.5046	-0.0786	1	4	11	6	2017.1667
9648	"newcomb, polly a"	-0.2425	0.2058	10	10	27	7	2016.5714
9678	"nguyen, tuong l"	0.927	0.1602	11	13	34	5	2016.8
9685	"nichols, hazel b"	0.1992	-0.0967	16	18	27	9	2017.1111
9695	"nielsen, mads"	-0.0226	-0.5916	19	5	10	5	2016.4
9749	"noh, dong-young"	1.4754	0.2913	8	13	19	5	2016.2
9792	"nyante, sarah j"	-0.1604	-0.0793	3	20	35	8	2016.25
9902	"olopade, olufunmilayo i"	0.1813	-0.6194	4	11	17	6	2017
9906	"olshan, andrew f"	0.2672	-0.5579	5	35	189	26	2016.5
9921	"onega, tracy"	-0.3279	0.322	10	17	53	14	2016.3571
10008	"owusu, cynthia"	0.0772	0.4753	12	2	6	5	2015.6
10069	"palmer, julie r"	0.4861	-0.6651	5	25	168	17	2016.2941
10101	"pankratz, v shane"	0.1455	0.3112	6	24	65	6	2016
10147	"park, henry s"	-1.3369	-0.3622	14	6	16	5	2016.4
10173	"park, song-yi"	0.4345	-0.6932	5	15	46	5	2015.6
10204	"partridge, ann h"	-0.3578	-0.2536	1	9	12	7	2015.5714
10205	"partridge, savannah c"	-0.4287	0.085	1	2	5	5	2016.4
10226	"patel, deesha a"	-0.0732	0.1708	3	18	61	5	2015.2
10289	"pedraz-pingarron, carmen"	-0.565	1.3948	7	11	68	7	2017.1429
10376	"perez-gomez, beatriz"	-0.5024	1.2249	7	19	145	18	2016.7222
10390	"perou, charles m"	-0.2383	-0.1318	1	11	16	7	2016.2857
10447	"pfeiffer, ruth m"	-0.125	0.0128	3	31	106	17	2016.5294
10565	"pollan, marina"	-0.5932	1.2531	7	19	146	19	2016.6316
10691	"punglia, rinaa s"	-0.4549	-0.1132	1	6	6	6	2016.1667
10699	"pusztai, lajos"	-1.4417	-0.4852	14	6	10	5	2016.2
10810	"radisky, derek c"	-0.3453	0.0185	3	15	33	5	2016.6
10983	"reiner, anne s"	-0.2707	-0.8351	15	12	69	7	2017.2857
11071	"rice, megan s"	0.3845	0.0094	2	8	13	5	2015.8
11223	"roman, marta"	-0.3238	0.6111	13	5	10	5	2017.4
11233	"romieu, isabelle"	0.3611	-0.073	2	5	6	7	2016.2857
11256	"rosenberg, lynn"	0.4816	-0.7452	5	21	131	13	2016
11273	"rosner, bernard"	0.3267	0.0826	2	11	32	10	2015.9
11274	"rosner, bernard a"	0.4337	0.0765	2	8	20	7	2016.7143
